"Gruppe";"ValgstedId";"KredsNr";"StorKredsNr";"LandsdelsNr";"KV2021 - Stemmeberettigede";"KV2021 - Afgivne stemmer";"KV2021 - Blanke stemmer";"KV2021 - Andre ugyldige stemmer";"KV2021 - Gyldige stemmer";"KV2021 - A";"KV2021 - B";"KV2021 - C";"KV2021 - D";"KV2021 - F";"KV2021 - I";"KV2021 - J";"KV2021 - G";"KV2021 - K";"KV2021 - N";"KV2021 - H";"KV2021 - M";"KV2021 - S";"KV2021 - U";"KV2021 - O";"KV2021 - Z";"KV2021 - L";"KV2021 - R";"KV2021 - V";"KV2021 - P";"KV2021 - E";"KV2021 - Ø";"KV2021 - Å";"KV2021 - K1";"KV2021 - K2";"KV2021 - Q";"KV2021 - T";"KV2021 - W";"KV2021 - Y";"KV2021 - Æ";"KV2021 - Å1";"KV2021 - Stemmeberettigede";"KV2021 - Afgivne stemmer";"KV2021 - Blanke stemmer";"KV2021 - Andre ugyldige stemmer";"KV2021 - Gyldige stemmer";"KV2021 - A";"KV2021 - B";"KV2021 - C";"KV2021 - D";"KV2021 - F";"KV2021 - I";"KV2021 - J";"KV2021 - G";"KV2021 - K";"KV2021 - N";"KV2021 - H";"KV2021 - M";"KV2021 - S";"KV2021 - U";"KV2021 - O";"KV2021 - Z";"KV2021 - L";"KV2021 - R";"KV2021 - V";"KV2021 - P";"KV2021 - E";"KV2021 - Ø";"KV2021 - Å";"KV2021 - 0";"KV2021 - Q";"KV2021 - T";"KV2021 - W";"KV2021 - Y";"KV2021 - Æ"
"101034";"101034";"7";"1";"1";"9328";"5749";"91";"12";"5646";"1457";"529";"650";"108";"699";"80";"12";"31";"20";"9";"1";"28";"-";"48";"148";"7";"10";"16";"251";"1";"4";"1400";"109";"-";"-";"2";"14";"-";"5";"5";"-";"9328";"5749";"91";"12";"5646";"1457";"529";"650";"108";"699";"80";"12";"31";"20";"9";"1";"28";"-";"48";"148";"7";"10";"16";"251";"1";"4";"1400";"109";"2";"2";"14";"-";"5";"5"
"101035";"101035";"7";"1";"1";"7812";"3850";"70";"13";"3767";"1128";"318";"454";"80";"396";"56";"10";"16";"20";"2";"6";"23";"-";"17";"179";"5";"8";"10";"169";"2";"6";"786";"44";"-";"-";"5";"11";"-";"7";"4";"-";"7812";"3850";"70";"13";"3767";"1128";"318";"454";"80";"396";"56";"10";"16";"20";"2";"6";"23";"-";"17";"179";"5";"8";"10";"169";"2";"6";"786";"44";"5";"5";"11";"-";"7";"4"
"101036";"101036";"7";"1";"1";"9439";"5580";"62";"14";"5504";"1669";"437";"838";"161";"614";"69";"16";"23";"29";"4";"2";"29";"-";"33";"201";"0";"14";"26";"267";"1";"5";"952";"81";"-";"-";"6";"15";"-";"2";"6";"-";"9439";"5580";"62";"14";"5504";"1669";"437";"838";"161";"614";"69";"16";"23";"29";"4";"2";"29";"-";"33";"201";"0";"14";"26";"267";"1";"5";"952";"81";"4";"6";"15";"-";"2";"6"
"101039";"101039";"7";"1";"1";"5252";"3379";"65";"13";"3301";"698";"378";"475";"94";"371";"99";"5";"14";"9";"4";"1";"7";"-";"24";"66";"4";"4";"11";"286";"0";"3";"642";"88";"-";"-";"3";"7";"-";"3";"5";"-";"5252";"3379";"65";"13";"3301";"698";"378";"475";"94";"371";"99";"5";"14";"9";"4";"1";"7";"-";"24";"66";"4";"4";"11";"286";"0";"3";"642";"88";"0";"3";"7";"-";"3";"5"
"101040";"101040";"7";"1";"1";"5812";"3922";"47";"12";"3863";"870";"426";"563";"107";"463";"89";"9";"17";"19";"5";"1";"11";"-";"38";"91";"0";"13";"10";"284";"0";"4";"752";"78";"-";"-";"1";"6";"-";"5";"1";"-";"5812";"3922";"47";"12";"3863";"870";"426";"563";"107";"463";"89";"9";"17";"19";"5";"1";"11";"-";"38";"91";"0";"13";"10";"284";"0";"4";"752";"78";"0";"1";"6";"-";"5";"1"
"101041";"101041";"7";"1";"1";"11328";"7140";"143";"27";"6970";"1545";"736";"1033";"180";"772";"212";"12";"38";"46";"6";"3";"24";"-";"52";"204";"8";"18";"22";"572";"2";"4";"1315";"105";"-";"-";"8";"35";"-";"6";"9";"-";"11328";"7140";"143";"27";"6970";"1545";"736";"1033";"180";"772";"212";"12";"38";"46";"6";"3";"24";"-";"52";"204";"8";"18";"22";"572";"2";"4";"1315";"105";"3";"8";"35";"-";"6";"9"
"101042";"101042";"8";"1";"1";"9124";"5810";"88";"26";"5696";"1150";"632";"799";"177";"744";"155";"10";"25";"16";"4";"7";"17";"-";"46";"113";"3";"12";"20";"503";"1";"0";"1060";"147";"-";"-";"9";"27";"-";"7";"8";"-";"9124";"5810";"88";"26";"5696";"1150";"632";"799";"177";"744";"155";"10";"25";"16";"4";"7";"17";"-";"46";"113";"3";"12";"20";"503";"1";"0";"1060";"147";"4";"9";"27";"-";"7";"8"
"101043";"101043";"8";"1";"1";"10094";"6257";"100";"17";"6140";"1226";"743";"845";"122";"736";"162";"15";"37";"29";"2";"0";"7";"-";"52";"126";"4";"20";"21";"537";"0";"3";"1243";"164";"-";"-";"2";"21";"-";"17";"6";"-";"10094";"6257";"100";"17";"6140";"1226";"743";"845";"122";"736";"162";"15";"37";"29";"2";"0";"7";"-";"52";"126";"4";"20";"21";"537";"0";"3";"1243";"164";"0";"2";"21";"-";"17";"6"
"101044";"101044";"8";"1";"1";"10600";"5445";"101";"33";"5311";"1182";"639";"724";"136";"574";"170";"6";"27";"17";"5";"2";"36";"-";"28";"130";"6";"11";"21";"522";"1";"3";"899";"122";"-";"-";"6";"24";"-";"13";"6";"-";"10600";"5445";"101";"33";"5311";"1182";"639";"724";"136";"574";"170";"6";"27";"17";"5";"2";"36";"-";"28";"130";"6";"11";"21";"522";"1";"3";"899";"122";"1";"6";"24";"-";"13";"6"
"101046";"101046";"8";"1";"1";"5924";"2933";"51";"10";"2872";"701";"276";"351";"91";"336";"63";"2";"22";"23";"1";"1";"18";"-";"21";"124";"8";"14";"12";"221";"0";"1";"495";"64";"-";"-";"3";"16";"-";"4";"4";"-";"5924";"2933";"51";"10";"2872";"701";"276";"351";"91";"336";"63";"2";"22";"23";"1";"1";"18";"-";"21";"124";"8";"14";"12";"221";"0";"1";"495";"64";"0";"3";"16";"-";"4";"4"
"101047";"101047";"8";"1";"1";"5966";"3209";"60";"9";"3140";"685";"352";"310";"95";"352";"84";"7";"16";"11";"7";"5";"21";"-";"47";"70";"1";"8";"11";"230";"2";"5";"718";"78";"-";"-";"1";"11";"-";"6";"7";"-";"5966";"3209";"60";"9";"3140";"685";"352";"310";"95";"352";"84";"7";"16";"11";"7";"5";"21";"-";"47";"70";"1";"8";"11";"230";"2";"5";"718";"78";"0";"1";"11";"-";"6";"7"
"101048";"101048";"8";"1";"1";"9104";"5435";"123";"21";"5291";"980";"650";"779";"130";"591";"183";"8";"25";"28";"4";"4";"25";"-";"51";"112";"7";"24";"20";"475";"0";"5";"1025";"121";"-";"-";"6";"28";"-";"5";"3";"-";"9104";"5435";"123";"21";"5291";"980";"650";"779";"130";"591";"183";"8";"25";"28";"4";"4";"25";"-";"51";"112";"7";"24";"20";"475";"0";"5";"1025";"121";"2";"6";"28";"-";"5";"3"
"101049";"101049";"9";"1";"1";"7966";"5736";"60";"12";"5664";"826";"656";"530";"58";"767";"99";"11";"32";"8";"7";"7";"12";"-";"79";"66";"5";"27";"19";"288";"1";"4";"1873";"251";"-";"-";"7";"12";"-";"10";"6";"-";"7966";"5736";"60";"12";"5664";"826";"656";"530";"58";"767";"99";"11";"32";"8";"7";"7";"12";"-";"79";"66";"5";"27";"19";"288";"1";"4";"1873";"251";"3";"7";"12";"-";"10";"6"
"101050";"101050";"9";"1";"1";"9453";"6154";"82";"13";"6059";"790";"869";"653";"79";"742";"145";"16";"23";"9";"10";"2";"19";"-";"90";"51";"4";"27";"17";"374";"4";"8";"1836";"245";"-";"-";"9";"20";"-";"11";"6";"-";"9453";"6154";"82";"13";"6059";"790";"869";"653";"79";"742";"145";"16";"23";"9";"10";"2";"19";"-";"90";"51";"4";"27";"17";"374";"4";"8";"1836";"245";"0";"9";"20";"-";"11";"6"
