"Id";"ValgId";"AdrKom";"ValgstedKode";"Kreds Nr";"Valgsted Id";"RefValgId";"RefValgstedKode";"RefValgstedId";"RefAdrKom";"RefKredsNr";"Personer";"TotalPersoner";"Divergens";"Multi";"Fejl";"DivergensGruppe";"DivergensGruppePersoner";"OrgGruppe";"GeoId"
"117";"285";"479";"21";"47";"8863";"285";"21";"8863";"479";"47";"1017";"1017";"0";"1";"0";"479021";"1017";"479021";"479021"
"118";"285";"860";"13";"85";"9223";"285";"13";"9223";"860";"85";"1730";"1730";"0";"1";"0";"860013";"1730";"860013";"860013"
"119";"285";"185";"4";"12";"8492";"285";"4";"8492";"185";"12";"4355";"4355";"0";"1";"0";"185004";"4355";"185004";"185004"
"120";"285";"540";"16";"49";"9613";"285";"16";"9613";"540";"49";"6622";"6622";"0";"1";"0";"540016";"6622";"540016";"540016"
"121";"285";"766";"21";"72";"9115";"285";"21";"9115";"766";"72";"2588";"2588";"0";"1";"0";"766021";"2588";"766021";"766021"
"122";"285";"370";"7";"32";"8649";"285";"7";"8649";"370";"32";"1382";"1382";"0";"1";"0";"370007";"1382";"370007";"370007"
"123";"285";"580";"8";"50";"9622";"285";"8";"9622";"580";"50";"2034";"2034";"0";"1";"0";"580008";"2034";"580008";"580008"
"124";"285";"791";"13";"76";"9558";"285";"13";"9558";"791";"76";"10564";"10564";"0";"1";"0";"791013";"10564";"791013";"791013"
"125";"285";"813";"11";"84";"9203";"285";"11";"9203";"813";"84";"1669";"1669";"0";"1";"0";"813011";"1669";"813011";"813011"
"126";"285";"727";"4";"70";"9078";"285";"4";"9078";"727";"70";"1167";"1167";"0";"1";"0";"727004";"1167";"727004";"727004"
"127";"285";"167";"2";"17";"8524";"285";"2";"8524";"167";"17";"3649";"3649";"0";"1";"0";"167002";"3649";"167002";"167002"
"128";"285";"101";"31";"7";"9792";"285";"31";"9792";"101";"7";"4189";"4189";"0";"1";"0";"101031";"4189";"101031";"101031"
"129";"285";"390";"1";"31";"9448";"285";"1";"9448";"390";"31";"4943";"4943";"0";"1";"0";"390001";"4943";"390001";"390001"
"130";"285";"185";"6";"12";"8494";"285";"6";"8494";"185";"12";"9032";"9032";"0";"1";"0";"185006";"9032";"185006";"185006"
"131";"285";"540";"17";"49";"9614";"285";"17";"9614";"540";"49";"727";"727";"0";"1";"0";"540017";"727";"540017";"540017"
"132";"285";"167";"1";"17";"8523";"285";"1";"8523";"167";"17";"4787";"4787";"0";"1";"0";"167001";"4787";"167001";"167001"
"133";"285";"760";"22";"83";"9184";"285";"22";"9184";"760";"83";"1397";"1397";"0";"1";"0";"760022";"1397";"760022";"760022"
"134";"285";"157";"2";"13";"8496";"285";"2";"8496";"157";"13";"4871";"4871";"0";"1";"0";"157002";"4871";"157002";"157002"
"135";"285";"326";"13";"38";"9932";"285";"13";"9932";"326";"38";"2824";"2824";"0";"1";"0";"326013";"2824";"326013";"326013"
"136";"285";"813";"10";"84";"9202";"285";"10";"9202";"813";"84";"1433";"1433";"0";"1";"0";"813010";"1433";"813010";"813010"
"137";"285";"250";"4";"24";"8595";"285";"4";"8595";"250";"24";"6731";"6731";"0";"1";"0";"250004";"6731";"250004";"250004"
"138";"285";"760";"28";"83";"9188";"285";"28";"9188";"760";"83";"986";"986";"0";"1";"0";"760028";"986";"760028";"760028"
"139";"285";"461";"31";"43";"9977";"285";"31";"9977";"461";"43";"2688";"2688";"0";"1";"0";"461031";"2688";"461031";"461031"
"140";"285";"787";"25";"87";"9310";"285";"25";"9310";"787";"87";"1401";"1401";"0";"1";"0";"787025";"1401";"787025";"787025"
"141";"285";"430";"3";"48";"8868";"285";"3";"8868";"430";"48";"1593";"1593";"0";"1";"0";"430003";"1593";"430003";"430003"
"142";"285";"779";"11";"74";"9142";"285";"11";"9142";"779";"74";"1530";"1530";"0";"1";"0";"779011";"1530";"779011";"779011"
"143";"285";"820";"6";"88";"9750";"285";"6";"9750";"820";"88";"867";"867";"0";"1";"0";"820006";"867";"820006";"820006"
"144";"285";"190";"4";"25";"8604";"285";"4";"8604";"190";"25";"1246";"1246";"0";"1";"0";"190004";"1246";"190004";"190004"
"145";"285";"147";"6";"11";"9818";"285";"6";"9818";"147";"11";"10162";"10162";"0";"1";"0";"147006";"10162";"147006";"147006"
"146";"285";"665";"2";"73";"9121";"285";"2";"9121";"665";"73";"2504";"2504";"0";"1";"0";"665002";"2504";"665002";"665002"
"147";"285";"330";"19";"40";"8769";"285";"19";"8769";"330";"40";"6222";"6222";"0";"1";"0";"330019";"6222";"330019";"330019"
"148";"285";"376";"5";"30";"8631";"285";"5";"8631";"376";"30";"2143";"2143";"0";"1";"0";"376005";"2143";"376005";"376005"
"149";"285";"540";"2";"49";"9599";"285";"2";"9599";"540";"49";"1997";"1997";"0";"1";"0";"540002";"1997";"540002";"540002"
"150";"285";"450";"13";"46";"9952";"285";"13";"9952";"450";"46";"886";"886";"0";"1";"0";"450013";"886";"450013";"450013"
"151";"285";"730";"16";"68";"9058";"285";"16";"9058";"730";"68";"954";"954";"0";"1";"0";"730016";"954";"730016";"730016"
"152";"285";"561";"3";"52";"10042";"285";"3";"10042";"561";"52";"2454";"2454";"0";"1";"0";"561003";"2454";"561003";"561003"
"153";"285";"480";"11";"45";"8839";"285";"11";"8839";"480";"45";"2271";"2271";"0";"1";"0";"480011";"2271";"480011";"480011"
"154";"285";"550";"4";"51";"8889";"285";"4";"8889";"550";"51";"1426";"1426";"0";"1";"0";"550004";"1426";"550004";"550004"
"155";"285";"746";"10";"70";"9681";"285";"10";"9681";"746";"70";"3691";"3691";"0";"1";"0";"746010";"3691";"746010";"746010"
"156";"285";"607";"6";"58";"9866";"285";"6";"9866";"607";"58";"8869";"8869";"0";"1";"0";"607006";"8869";"607006";"607006"
"157";"285";"580";"7";"50";"9621";"285";"7";"9621";"580";"50";"1620";"1620";"0";"1";"0";"580007";"1620";"580007";"580007"
"158";"285";"615";"6";"71";"9088";"285";"6";"9088";"615";"71";"7833";"7833";"0";"1";"0";"615006";"7833";"615006";"615006"
"159";"285";"101";"7";"2";"9769";"285";"7";"9769";"101";"2";"11459";"11459";"0";"1";"0";"101007";"11459";"101007";"101007"
"160";"285";"390";"2";"31";"9449";"285";"2";"9449";"390";"31";"3953";"3953";"0";"1";"0";"390002";"3953";"390002";"390002"
"161";"285";"661";"7";"82";"9170";"285";"7";"9170";"661";"82";"1519";"1519";"0";"1";"0";"661007";"1519";"661007";"661007"
"162";"285";"860";"7";"85";"9219";"285";"7";"9219";"860";"85";"1445";"1445";"0";"1";"0";"860007";"1445";"860007";"860007"
"163";"285";"561";"24";"53";"9861";"285";"24";"9861";"561";"53";"3009";"3009";"0";"1";"0";"561024";"3009";"561024";"561024"
"164";"285";"173";"2";"14";"8506";"285";"2";"8506";"173";"14";"5146";"5146";"0";"1";"0";"173002";"5146";"173002";"173002"
"165";"285";"727";"3";"70";"9077";"285";"3";"9077";"727";"70";"1509";"1509";"0";"1";"0";"727003";"1509";"727003";"727003"
"166";"285";"240";"5";"25";"8612";"285";"5";"8612";"240";"25";"3015";"3015";"0";"1";"0";"240005";"3015";"240005";"240005"
"167";"285";"265";"3";"36";"8706";"285";"3";"8706";"265";"36";"6584";"6584";"0";"1";"0";"265003";"6584";"265003";"265003"
"168";"285";"400";"8";"27";"9439";"285";"8";"9439";"400";"27";"12655";"12655";"0";"1";"0";"400008";"12655";"400008";"400008"
"169";"285";"259";"13";"34";"8685";"285";"13";"8685";"259";"34";"2954";"2954";"0";"1";"0";"259013";"2954";"259013";"259013"
"170";"285";"766";"22";"72";"9116";"285";"22";"9116";"766";"72";"1303";"1303";"0";"1";"0";"766022";"1303";"766022";"766022"
"171";"285";"773";"5";"87";"9273";"285";"5";"9273";"773";"87";"445";"445";"0";"1";"0";"773005";"445";"773005";"773005"
"172";"285";"730";"10";"67";"10001";"285";"10";"10001";"730";"67";"1210";"1210";"0";"1";"0";"730010";"1210";"730010";"730010"
"173";"285";"185";"5";"12";"8493";"285";"5";"8493";"185";"12";"4017";"4017";"0";"1";"0";"185005";"4017";"185005";"185005"
"174";"285";"561";"32";"53";"9862";"285";"32";"9862";"561";"53";"1674";"1674";"0";"1";"0";"561032";"1674";"561032";"561032"
"175";"285";"330";"8";"40";"8761";"285";"8";"8761";"330";"40";"2807";"2807";"0";"1";"0";"330008";"2807";"330008";"330008"
"176";"285";"580";"6";"50";"9620";"285";"6";"9620";"580";"50";"604";"604";"0";"1";"0";"580006";"604";"580006";"580006"
"177";"285";"657";"22";"81";"9670";"285";"22";"9670";"657";"81";"785";"785";"0";"1";"0";"657022";"785";"657022";"657022"
"178";"285";"846";"8";"89";"10013";"285";"8";"10013";"846";"89";"1779";"1779";"0";"1";"0";"846008";"1779";"846008";"846008"
"179";"285";"740";"9";"77";"9642";"285";"9";"9642";"740";"77";"1061";"1061";"0";"1";"0";"740009";"1061";"740009";"740009"
"180";"285";"779";"12";"74";"9143";"285";"12";"9143";"779";"74";"1171";"1171";"0";"1";"0";"779012";"1171";"779012";"779012"
"181";"285";"101";"56";"1";"10057";"285";"56";"10057";"101";"1";"8943";"8943";"0";"1";"0";"101056";"8943";"101056";"101056"
"182";"285";"510";"34";"61";"8995";"285";"34";"8995";"510";"61";"498";"498";"0";"1";"0";"510034";"498";"510034";"510034"
"183";"285";"573";"23";"54";"8932";"285";"23";"8932";"573";"54";"1270";"1270";"0";"1";"0";"573023";"1270";"573023";"573023"
"184";"285";"376";"17";"30";"8643";"285";"17";"8643";"376";"30";"2468";"2468";"0";"1";"0";"376017";"2468";"376017";"376017"
"185";"285";"756";"9";"79";"10010";"285";"9";"10010";"756";"79";"3108";"3108";"0";"1";"0";"756009";"3108";"756009";"756009"
"186";"285";"746";"11";"70";"9677";"285";"11";"9677";"746";"70";"1615";"1615";"0";"1";"0";"746011";"1615";"746011";"746011"
"187";"285";"161";"2";"20";"8557";"285";"2";"8557";"161";"20";"2816";"2816";"0";"1";"0";"161002";"2816";"161002";"161002"
"188";"285";"326";"12";"38";"9931";"285";"12";"9931";"326";"38";"3346";"3346";"0";"1";"0";"326012";"3346";"326012";"326012"
"189";"285";"479";"25";"47";"8865";"285";"25";"8865";"479";"47";"1280";"1280";"0";"1";"0";"479025";"1280";"479025";"479025"
"190";"285";"730";"15";"67";"9873";"285";"15";"9873";"730";"67";"710";"710";"0";"1";"0";"730015";"710";"730015";"730015"
"191";"285";"217";"11";"21";"10037";"285";"11";"10037";"217";"21";"5419";"5419";"0";"1";"0";"217011";"5419";"217011";"217011"
